[it 0093] step=95232 | EpRew=-1.6 EpCost=0.0 | Vr=0.005 Vc=0.004 | PiLoss=0.024 Track=0.024 MeanRatio=1.000 LB%=0.0% | time=5.3m
[it 0094] step=96256 | EpRew=-1.7 EpCost=0.0 | Vr=0.006 Vc=0.004 | PiLoss=0.025 Track=0.025 MeanRatio=1.000 LB%=0.0% | time=5.3m
[it 0095] step=97280 | EpRew=-0.4 EpCost=0.0 | Vr=0.006 Vc=0.007 | PiLoss=0.022 Track=0.022 MeanRatio=1.000 LB%=0.0% | time=5.4m
[it 0096] step=98304 | EpRew=-2.7 EpCost=0.0 | Vr=0.004 Vc=0.004 | PiLoss=0.028 Track=0.028 MeanRatio=1.000 LB%=0.0% | time=5.4m
[it 0097] step=99328 | EpRew=-0.2 EpCost=0.0 | Vr=0.005 Vc=0.006 | PiLoss=0.022 Track=0.022 MeanRatio=1.000 LB%=0.0% | time=5.5m
[it 0098] step=100352 | EpRew=-0.5 EpCost=102.0 | Vr=0.004 Vc=10.516 | PiLoss=0.029 Track=0.029 MeanRatio=1.000 LB%=0.0% | time=5.6m
[it 0099] step=101376 | EpRew=0.4 EpCost=0.0 | Vr=0.007 Vc=0.007 | PiLoss=0.022 Track=0.022 MeanRatio=1.000 LB%=0.0% | time=5.6m
[it 0100] step=102400 | EpRew=-3.2 EpCost=0.0 | Vr=0.006 Vc=0.003 | PiLoss=0.025 Track=0.025 MeanRatio=1.000 LB%=0.0% | time=5.7m
[it 0101] step=103424 | EpRew=-0.2 EpCost=0.0 | Vr=0.005 Vc=0.007 | PiLoss=0.023 Track=0.023 MeanRatio=1.000 LB%=0.0% | time=5.7m
[it 0102] step=104448 | EpRew=-2.0 EpCost=0.0 | Vr=0.007 Vc=0.006 | PiLoss=0.022 Track=0.022 MeanRatio=1.000 LB%=0.0% | time=5.8m
[it 0103] step=105472 | EpRew=0.2 EpCost=176.0 | Vr=0.006 Vc=21.995 | PiLoss=0.032 Track=0.032 MeanRatio=1.000 LB%=0.0% | time=5.8m
[it 0104] step=106496 | EpRew=-1.4 EpCost=0.0 | Vr=0.004 Vc=0.004 | PiLoss=0.026 Track=0.026 MeanRatio=1.000 LB%=0.0% | time=5.9m
[it 0105] step=107520 | EpRew=-2.2 EpCost=0.0 | Vr=0.004 Vc=0.004 | PiLoss=0.024 Track=0.024 MeanRatio=1.000 LB%=0.0% | time=5.9m
[it 0106] step=108544 | EpRew=1.9 EpCost=238.0 | Vr=0.013 Vc=29.607 | PiLoss=0.020 Track=0.020 MeanRatio=1.000 LB%=0.0% | time=6.0m
[it 0107] step=109568 | EpRew=0.2 EpCost=0.0 | Vr=0.012 Vc=0.005 | PiLoss=0.023 Track=0.023 MeanRatio=1.000 LB%=0.0% | time=6.1m
[it 0108] step=110592 | EpRew=-1.1 EpCost=0.0 | Vr=0.006 Vc=0.003 | PiLoss=0.024 Track=0.024 MeanRatio=1.000 LB%=0.0% | time=6.1m
[it 0109] step=111616 | EpRew=-1.0 EpCost=0.0 | Vr=0.005 Vc=0.004 | PiLoss=0.023 Track=0.023 MeanRatio=1.000 LB%=0.0% | time=6.2m
[it 0110] step=112640 | EpRew=0.1 EpCost=31.0 | Vr=0.004 Vc=2.353 | PiLoss=0.024 Track=0.024 MeanRatio=1.000 LB%=0.0% | time=6.2m
[it 0111] step=113664 | EpRew=-0.8 EpCost=0.0 | Vr=0.004 Vc=0.004 | PiLoss=0.025 Track=0.025 MeanRatio=1.000 LB%=0.0% | time=6.3m
[it 0112] step=114688 | EpRew=0.0 EpCost=74.0 | Vr=0.006 Vc=7.302 | PiLoss=0.028 Track=0.028 MeanRatio=1.000 LB%=0.0% | time=6.3m
[it 0113] step=115712 | EpRew=-0.1 EpCost=0.0 | Vr=0.011 Vc=0.004 | PiLoss=0.023 Track=0.023 MeanRatio=1.000 LB%=0.0% | time=6.4m
[it 0114] step=116736 | EpRew=-0.4 EpCost=52.0 | Vr=0.005 Vc=3.605 | PiLoss=0.025 Track=0.025 MeanRatio=1.000 LB%=0.0% | time=6.5m
[it 0115] step=117760 | EpRew=-1.1 EpCost=47.0 | Vr=0.005 Vc=4.314 | PiLoss=0.025 Track=0.025 MeanRatio=1.000 LB%=0.0% | time=6.5m
[it 0116] step=118784 | EpRew=-1.7 EpCost=0.0 | Vr=0.005 Vc=0.004 | PiLoss=0.025 Track=0.025 MeanRatio=1.000 LB%=0.0% | time=6.6m
[it 0117] step=119808 | EpRew=-0.5 EpCost=0.0 | Vr=0.004 Vc=0.004 | PiLoss=0.026 Track=0.026 MeanRatio=1.000 LB%=0.0% | time=6.6m
[it 0118] step=120832 | EpRew=-1.8 EpCost=350.0 | Vr=0.005 Vc=44.168 | PiLoss=0.020 Track=0.020 MeanRatio=1.000 LB%=0.0% | time=6.7m
[it 0119] step=121856 | EpRew=-1.4 EpCost=55.0 | Vr=0.004 Vc=4.571 | PiLoss=0.027 Track=0.027 MeanRatio=1.000 LB%=0.0% | time=6.7m
[it 0120] step=122880 | EpRew=-1.2 EpCost=88.0 | Vr=0.005 Vc=9.844 | PiLoss=0.028 Track=0.028 MeanRatio=1.000 LB%=0.0% | time=6.8m
[it 0121] step=123904 | EpRew=-1.3 EpCost=0.0 | Vr=0.003 Vc=0.004 | PiLoss=0.026 Track=0.026 MeanRatio=1.000 LB%=0.0% | time=6.9m
[it 0122] step=124928 | EpRew=0.6 EpCost=180.0 | Vr=0.006 Vc=20.391 | PiLoss=0.034 Track=0.034 MeanRatio=1.000 LB%=0.0% | time=6.9m
[it 0123] step=125952 | EpRew=0.6 EpCost=128.0 | Vr=0.005 Vc=15.254 | PiLoss=0.029 Track=0.029 MeanRatio=1.000 LB%=0.0% | time=7.0m
[it 0124] step=126976 | EpRew=-0.8 EpCost=149.0 | Vr=0.005 Vc=18.157 | PiLoss=0.030 Track=0.030 MeanRatio=1.000 LB%=0.0% | time=7.0m
[it 0125] step=128000 | EpRew=-0.4 EpCost=222.0 | Vr=0.007 Vc=25.866 | PiLoss=0.037 Track=0.037 MeanRatio=1.000 LB%=0.0% | time=7.1m
[it 0126] step=129024 | EpRew=-0.5 EpCost=393.0 | Vr=0.004 Vc=47.987 | PiLoss=0.020 Track=0.020 MeanRatio=1.000 LB%=0.0% | time=7.1m
